ID,Name,Level,Skill ID,Skill Level
0,Absorber Jewel 1,1,75,1
1,Antiblast Jewel 1,1,8,1
2,Antidote Jewel 1,1,67,1
3,Antipara Jewel 1,1,62,1
4,Artillery Jewel 2,2,5,1
5,Attack Jewel 2,2,6,1
6,Blast Jewel 2,2,7,1
7,Blaze Jewel 1,1,31,1
8,Blunt Jewel 2,2,10,1
9,Bolt Jewel 1,1,94,1
10,Bomber Jewel 1,1,11,1
11,Botany Jewel 1,1,12,1
12,Brace Jewel 1,1,33,1
13,Bubble Jewel 2,2,14,1
14,Capacity Jewel 3,3,4,1
15,Carver Jewel 1,1,16,1
16,Challenger Jewel 2,2,2,1
17,Charger Jewel 2,2,34,1
18,Counter Jewel 2,2,18,1
19,Crisis Jewel 2,2,80,1
20,Crit Element Jewel 2,2,21,1
21,Critical Jewel 2,2,19,1
22,Defense Jewel 1,1,23,1
23,Destroyer Jewel 2,2,63,1
24,Dive Jewel 1,1,51,1
25,Diversion Jewel 1,1,24,1
26,Dragon Jewel 1,1,26,1
27,Drain Jewel 1,1,90,1
28,Draw Jewel 3,3,20,1
29,Earplug Jewel 3,3,28,1
30,Enduring Jewel 2,2,48,1
31,Enhancer Jewel 2,2,68,1
32,Evasion Jewel 2,2,30,1
33,Expert Jewel 2,2,22,1
34,Fate Jewel 3,3,38,1
35,Fire Res Jewel 1,1,32,1
36,Flawless Jewel 2,2,64,1
37,Footing Jewel 2,2,96,1
38,Forceshot Jewel 3,3,59,1
39,Fortitude Jewel 2,2,35,1
40,Friendship Jewel 2,2,101,1
